id;defaulted;credit_amount;annual_installment;term;interest_rate_type;property_type;property_quality_rating;annual_income;number_of_children;number_of_family_members;own_car;own_realty;gender;years_employed;age;currently_employed;education_type;family_status;customer_group
255;no;731000;20400;37;fixed;apartment;0.1;69500;2;2;false;true;male;5;26;true;lower;single;lower_value
256;no;162000;15300;11;fixed;apartment;0.3;48000;1;1;true;true;male;30;54;true;secondary;single;lower_value
257;no;498000;18900;28;variable;house;0.8;73200;2;3;false;false;male;11;34;true;incomplete higher;widowed;lower_value
258;yes;571000;17700;34;fixed;house;0.8;48000;2;2;false;true;female;17;36;true;secondary;widowed;lower_value
259;no;775000;22400;36;variable;apartment;1;63900;2;1;true;true;male;4;26;true;lower secondary;married;lower_value
260;no;630000;14900;43;variable;apartment;1;34400;2;2;false;true;male;5;29;true;incomplete higher;widowed;lower_value
261;no;568000;24900;25;fixed;apartment;0.9;111200;2;3;false;false;male;12;38;true;incomplete higher;married;higher_value
262;no;435000;12700;37;fixed;apartment;1;31900;1;1;true;true;male;0;25;true;lower;single;lower_value
263;no;896000;26400;34;fixed;house;0.9;88700;1;1;true;true;female;5;27;true;lower secondary;divorced;lower_value
264;no;561000;26200;23;variable;house;1;110500;0;1;false;true;male;19;44;true;lower secondary;single;higher_value
265;no;1526000;46600;36;fixed;house;0.6;130100;0;1;true;false;female;4;27;true;lower;married;higher_value
266;no;967000;21500;49;variable;house;0.6;89300;0;1;true;false;female;0;22;true;lower secondary;married;lower_value
267;no;625000;19700;33;variable;apartment;0.4;81900;2;3;false;true;male;6;30;true;academic degree;married;lower_value
268;no;146000;7300;22;fixed;apartment;0.3;46900;1;2;true;false;male;15;37;true;secondary;married;lower_value
269;no;214000;13700;17;variable;apartment;0.1;43900;2;2;true;false;female;28;50;true;secondary;married;lower_value
270;no;534000;15800;37;fixed;apartment;1;53200;3;2;false;false;male;10;33;true;secondary;divorced;lower_value
271;no;594000;22900;28;fixed;apartment;1;72600;1;1;false;true;female;14;37;true;secondary;single;lower_value
272;no;543000;20600;29;variable;house;0.1;69900;3;4;true;false;male;18;41;false;academic degree;married;lower_value
273;no;278000;11400;27;fixed;house;0.1;31900;1;1;true;false;male;14;37;true;incomplete higher;single;lower_value
274;no;538000;18200;30;fixed;apartment;0.8;86700;1;2;false;true;female;12;37;true;academic degree;married;lower_value
275;no;951000;28800;36;variable;house;1;77800;1;2;true;false;female;3;25;true;incomplete higher;married;lower_value
276;no;94000;9400;10;fixed;apartment;0.3;20600;3;2;true;true;female;29;50;true;academic degree;widowed;lower_value
277;yes;678000;26500;27;variable;house;0.1;64600;2;2;false;false;female;20;40;true;secondary;divorced;lower_value
278;no;636000;45700;15;fixed;apartment;0.8;97200;1;1;false;true;male;29;51;true;academic degree;married;higher_value
279;no;136000;17100;8;fixed;house;0.1;61600;2;3;true;true;male;30;58;true;secondary;divorced;lower_value
280;no;231000;8000;31;fixed;house;0.7;24100;2;2;false;true;female;13;36;false;lower secondary;married;lower_value
281;no;550000;44200;13;fixed;apartment;1;95200;1;1;true;true;male;30;55;true;lower;single;higher_value
282;no;434000;11900;39;fixed;apartment;0.7;26300;3;3;true;true;female;10;30;true;incomplete higher;widowed;lower_value
283;no;312000;24200;14;variable;house;0.6;71000;2;1;true;true;male;30;71;false;academic degree;divorced;lower_value
284;no;1629000;41200;40;variable;apartment;0.5;85800;2;2;true;true;female;6;27;true;secondary;married;lower_value
285;no;208000;27200;8;fixed;house;0.4;124900;1;2;true;true;male;30;65;false;academic degree;single;higher_value
286;no;157000;9900;18;fixed;apartment;0.1;27600;1;1;true;true;female;27;51;true;incomplete higher;divorced;lower_value
287;no;925000;28100;34;variable;apartment;0.6;75500;1;1;true;true;male;4;26;true;academic degree;married;lower_value
288;no;544000;38900;15;variable;apartment;0.1;85200;2;2;true;false;male;30;52;true;incomplete higher;single;lower_value
289;no;679000;19900;37;fixed;house;0.6;84200;0;1;true;true;male;6;30;true;lower;divorced;lower_value
290;no;256000;12200;21;fixed;apartment;0.2;47300;1;2;true;true;male;20;44;true;secondary;widowed;lower_value
291;no;545000;34000;16;fixed;apartment;0.5;87300;1;1;false;true;male;30;67;true;academic degree;single;lower_value
292;yes;193000;12400;16;variable;house;0.2;32900;1;1;false;false;male;20;46;true;lower secondary;widowed;lower_value
293;no;280000;8500;34;fixed;apartment;0.5;30600;1;1;false;true;male;13;35;true;academic degree;divorced;lower_value
294;no;304000;15900;20;fixed;apartment;0.7;61400;1;2;true;false;male;16;41;true;academic degree;single;lower_value
295;no;638000;30700;21;fixed;house;0.5;86500;2;2;false;false;male;24;45;true;lower secondary;divorced;lower_value
296;no;175000;12600;15;variable;apartment;0.3;47800;1;1;true;true;male;29;52;true;academic degree;married;lower_value
297;no;575000;17900;33;fixed;house;0.3;72900;1;2;true;false;male;8;32;true;secondary;divorced;lower_value
298;no;261000;11600;24;fixed;apartment;0.6;63700;0;1;true;true;male;21;45;true;secondary;single;lower_value
299;no;944000;23600;42;variable;apartment;0.5;85600;1;1;true;false;female;0;21;true;incomplete higher;single;lower_value
300;no;542000;13000;43;fixed;house;0.8;31900;1;1;true;true;male;0;23;true;secondary;married;lower_value
301;no;723000;29800;26;variable;apartment;1;107900;1;1;false;true;male;21;42;true;secondary;divorced;higher_value
302;no;339000;11500;32;variable;house;0.1;34600;2;2;true;false;male;9;32;true;academic degree;single;lower_value
303;no;940000;23900;43;fixed;house;0.1;86900;1;1;true;true;male;0;21;true;incomplete higher;single;lower_value
304;no;453000;12200;38;variable;house;0.8;36800;3;2;false;true;male;4;31;true;incomplete higher;single;lower_value
305;no;398000;14900;27;variable;house;1;52400;2;3;false;false;male;15;37;true;academic degree;widowed;lower_value
306;no;736000;33400;23;fixed;house;0.5;70500;2;2;true;true;male;24;47;true;academic degree;single;lower_value
307;no;460000;20300;23;fixed;house;1;45700;2;1;true;true;male;21;48;true;academic degree;married;lower_value
308;no;652000;15300;43;fixed;house;0.3;53800;2;3;true;true;male;2;25;true;incomplete higher;married;lower_value
309;no;615000;48200;13;fixed;house;1;99600;1;1;false;false;male;30;63;true;secondary;widowed;higher_value
310;no;1771300;67500;28;variable;apartment;0.5;138400;1;1;false;false;male;13;39;true;incomplete higher;divorced;higher_value
311;no;198000;18300;11;fixed;house;0.3;77700;0;1;true;false;female;30;53;true;secondary;widowed;lower_value
312;no;364000;24900;15;variable;house;0.7;77500;2;2;false;false;male;30;65;true;incomplete higher;married;lower_value
313;no;1129000;30600;39;fixed;apartment;0.9;80900;1;1;false;true;male;3;25;true;secondary;single;lower_value
314;no;504700;11100;49;fixed;apartment;0.9;21400;1;1;false;false;male;2;24;true;academic degree;single;lower_value
315;no;429500;25900;18;variable;house;0.6;93400;2;2;true;true;female;16;39;true;academic degree;married;higher_value
316;no;938000;36200;28;variable;house;0.8;81000;1;1;false;false;male;13;38;true;academic degree;single;lower_value
317;no;572000;41000;15;fixed;apartment;0.7;117500;0;1;true;false;male;25;44;true;academic degree;single;higher_value
318;no;225000;8800;27;variable;house;0.3;22200;2;2;false;true;male;7;34;true;incomplete higher;widowed;lower_value
319;no;221300;22000;10;fixed;house;0.4;90000;0;1;true;false;male;30;59;true;incomplete higher;married;higher_value
320;no;1240000;26600;50;variable;house;0.6;79900;1;2;false;true;male;0;20;true;incomplete higher;married;lower_value
321;no;553700;23400;25;variable;apartment;1;80200;2;1;false;true;female;7;32;true;incomplete higher;single;lower_value
322;yes;715000;21100;36;variable;house;0.4;61700;1;1;false;true;female;15;35;true;lower;single;lower_value
323;no;832000;25700;34;variable;apartment;0.3;88200;0;1;true;true;male;9;32;true;incomplete higher;widowed;lower_value
324;no;195100;17800;11;variable;house;0.2;77400;2;3;true;false;male;30;66;false;secondary;married;lower_value
325;no;1137000;37600;32;fixed;apartment;0.8;115900;0;1;true;true;male;14;37;true;incomplete higher;widowed;higher_value
326;no;642000;28700;23;fixed;apartment;0.8;68100;1;1;true;false;male;20;41;true;secondary;married;lower_value
327;no;664000;26500;26;fixed;apartment;0.6;89700;1;1;true;false;female;21;44;true;academic degree;married;lower_value
328;no;388000;11700;35;variable;apartment;0.9;63100;0;1;true;false;male;0;22;true;academic degree;single;lower_value
329;no;540600;23500;25;fixed;house;0.9;71700;1;2;true;true;male;20;40;true;academic degree;married;lower_value
330;no;816000;19600;42;variable;house;0.8;50000;2;1;true;false;male;0;25;false;incomplete higher;married;lower_value
331;yes;282000;27300;11;fixed;apartment;0.7;65600;1;1;false;false;female;30;79;false;lower secondary;married;lower_value
332;no;128000;13800;9;variable;apartment;0.1;36100;1;1;true;true;female;30;80;false;incomplete higher;widowed;lower_value
333;no;228000;26100;9;fixed;apartment;0.5;72400;1;2;true;false;male;30;74;false;academic degree;married;lower_value
334;no;198400;25300;8;variable;apartment;0.2;49900;1;1;true;true;female;29;52;true;secondary;widowed;lower_value
335;no;228000;19700;13;variable;apartment;0.5;81900;0;1;true;false;male;30;56;true;academic degree;married;lower_value
336;no;462200;13200;36;fixed;house;1;51000;2;3;true;true;female;12;34;false;academic degree;single;lower_value
337;no;152000;6000;26;variable;house;0.2;21100;2;1;false;true;male;21;44;true;secondary;married;lower_value
338;no;302000;28800;11;variable;apartment;0.4;109000;2;3;true;false;male;27;52;true;secondary;married;higher_value
339;yes;227000;17000;14;variable;house;0.3;50000;1;1;false;false;male;25;55;true;secondary;divorced;lower_value
340;no;557000;24300;24;fixed;apartment;0.7;90900;1;2;true;false;female;12;36;true;academic degree;divorced;higher_value
341;no;966800;21900;49;fixed;house;0.4;43700;2;2;false;true;male;0;22;true;secondary;single;lower_value
342;no;81000;11100;8;variable;house;0.1;22500;2;1;false;false;female;30;59;true;secondary;divorced;lower_value
343;no;896000;20200;46;fixed;apartment;0.5;72700;2;2;false;true;male;0;20;true;lower;single;lower_value
344;no;591000;25400;25;fixed;house;0.6;79800;2;3;true;true;male;15;40;true;incomplete higher;widowed;lower_value
345;no;266000;13900;21;fixed;apartment;0.5;39100;2;1;true;false;male;21;42;false;secondary;married;lower_value
346;no;961400;23300;42;variable;house;0.1;49000;1;1;false;false;male;0;21;false;lower secondary;single;lower_value
347;yes;1184000;39600;32;fixed;house;0.6;72000;2;2;true;true;female;7;32;true;incomplete higher;divorced;lower_value
348;no;788000;33800;26;fixed;apartment;1;118300;1;2;true;true;male;18;41;true;secondary;single;higher_value
349;no;312000;12000;26;fixed;house;0.5;44100;2;3;false;false;male;17;40;false;academic degree;married;lower_value
350;no;142800;19400;8;fixed;apartment;0.4;37900;3;2;true;true;male;30;59;false;lower;married;lower_value
351;no;204000;20800;11;fixed;apartment;0.7;59800;2;2;true;true;male;26;49;true;incomplete higher;single;lower_value
352;no;100000;9700;11;variable;house;0.4;28600;2;2;true;true;female;30;61;true;secondary;married;lower_value
353;no;615800;61700;10;variable;house;0.2;115300;2;1;false;true;male;30;55;true;secondary;single;higher_value
354;no;577000;24000;25;fixed;house;0.2;98200;0;1;true;true;male;17;41;true;secondary;married;higher_value
355;yes;1097600;53600;22;fixed;house;0.5;90100;2;2;false;false;female;29;47;true;incomplete higher;divorced;higher_value
356;yes;293000;9700;30;variable;house;0.1;31100;3;3;false;false;female;17;36;false;lower;married;lower_value
357;no;1822000;55500;33;variable;apartment;1;148000;0;1;true;true;male;8;28;true;incomplete higher;married;higher_value
358;no;467000;13800;37;fixed;apartment;0.5;44200;2;2;true;true;male;0;21;true;lower;married;lower_value
359;no;1475000;33800;48;variable;house;0.3;110000;1;2;true;false;female;0;21;true;incomplete higher;single;higher_value
360;no;63000;9200;7;fixed;apartment;0.1;26400;3;3;true;false;female;30;73;false;academic degree;married;lower_value
361;no;694000;21800;33;fixed;house;0.5;67200;1;2;true;true;male;11;35;true;academic degree;widowed;lower_value
362;yes;137300;11600;13;fixed;house;0.3;23000;3;3;true;false;male;30;68;false;lower secondary;divorced;lower_value
363;no;1057000;40000;28;fixed;apartment;1;116300;2;3;true;true;male;19;41;true;academic degree;divorced;higher_value
364;no;1563000;44000;37;fixed;house;1;88200;2;2;false;true;male;0;22;true;academic degree;single;lower_value
365;no;348000;21800;17;fixed;house;0.5;69000;1;1;true;false;female;30;51;true;lower;married;lower_value
366;no;1005000;35200;31;fixed;apartment;0.6;107000;0;1;false;true;male;15;37;true;incomplete higher;single;higher_value
367;no;128000;10000;13;variable;apartment;0.1;37300;3;3;true;false;male;30;59;true;academic degree;married;lower_value
368;no;676000;18300;41;fixed;apartment;0.4;70400;1;2;false;false;female;0;22;true;lower;married;lower_value
369;no;416000;18200;24;variable;apartment;1;48500;2;2;true;true;male;19;42;true;incomplete higher;married;lower_value
370;no;1124000;31900;37;variable;apartment;1;70800;2;1;true;false;male;8;29;true;lower;single;lower_value
371;no;759700;22200;34;fixed;apartment;0.5;91400;2;3;false;false;male;3;26;true;incomplete higher;married;higher_value
372;no;910000;26600;38;fixed;house;0.2;71500;2;1;false;false;female;5;28;true;lower;single;lower_value
373;no;40300;8100;5;variable;house;0.3;27000;2;2;true;true;male;30;79;false;lower;widowed;lower_value
374;no;787000;20200;39;fixed;house;0.1;74200;1;1;false;true;male;2;31;true;incomplete higher;divorced;lower_value
375;yes;1181000;26600;45;fixed;apartment;0.1;49000;1;1;true;true;male;2;24;true;lower secondary;divorced;lower_value
376;yes;287000;10100;32;variable;house;0.6;23000;1;1;true;true;female;15;35;true;lower secondary;divorced;lower_value
377;yes;854600;21900;39;fixed;apartment;0.6;65800;2;3;false;false;male;2;26;true;lower secondary;divorced;lower_value
378;no;201000;16000;13;fixed;house;0.2;42800;1;1;true;false;female;26;49;true;secondary;single;lower_value
379;no;431000;11600;41;variable;apartment;0.5;41800;2;2;true;false;male;0;20;true;lower;married;lower_value
380;no;301900;10500;29;fixed;house;0.4;39300;2;3;false;true;female;14;39;false;incomplete higher;married;lower_value
381;no;153000;10800;15;variable;house;0.2;41900;1;2;true;true;male;30;74;false;academic degree;married;lower_value
382;no;599000;19300;32;fixed;house;0.9;77500;1;2;true;true;female;14;33;true;incomplete higher;married;lower_value
383;no;693200;41600;18;variable;house;0.9;87700;1;1;true;false;female;26;47;true;incomplete higher;widowed;lower_value
384;no;464000;25600;20;variable;house;0.6;90500;0;1;true;true;female;28;48;true;lower secondary;married;higher_value
385;no;454000;18400;25;variable;house;1;70700;1;1;false;false;female;18;40;true;academic degree;single;lower_value
386;no;21000;4400;5;fixed;apartment;0.2;17000;2;1;true;true;male;30;73;false;secondary;single;lower_value
387;no;367300;18000;21;fixed;house;0.7;44800;1;1;true;true;male;21;47;true;incomplete higher;widowed;lower_value
388;no;278000;23600;12;fixed;house;0.7;68100;1;2;true;false;female;30;57;true;academic degree;divorced;lower_value
389;no;215800;7400;31;variable;apartment;0.2;49300;0;1;true;false;male;5;29;true;academic degree;divorced;lower_value
390;no;305000;30200;11;fixed;house;0.5;103500;2;3;true;true;male;30;52;true;academic degree;single;higher_value
391;no;790000;37300;21;variable;house;1;85300;1;1;true;true;male;26;49;true;academic degree;divorced;lower_value
392;no;152000;5800;28;fixed;house;0.2;16100;1;1;true;true;male;13;35;true;incomplete higher;divorced;lower_value
393;no;36000;5800;7;fixed;apartment;0.2;16800;1;1;false;false;male;30;67;false;lower secondary;single;lower_value
394;no;200000;44200;5;fixed;house;0.5;145900;0;1;false;false;male;30;67;true;lower secondary;widowed;higher_value
395;no;335000;13200;26;fixed;apartment;0.6;48300;2;3;true;false;male;9;35;false;lower;widowed;lower_value
396;no;71000;7000;11;variable;apartment;0.2;27200;2;2;true;true;male;30;57;true;academic degree;divorced;lower_value
397;no;276000;28800;10;fixed;house;0.4;58500;2;2;false;true;male;27;52;true;secondary;single;lower_value
398;no;800000;33600;25;fixed;house;0.7;104300;1;2;true;true;male;15;38;true;academic degree;single;higher_value
399;no;720000;28300;26;fixed;house;0.1;99200;1;2;false;true;male;14;36;true;lower secondary;divorced;higher_value
400;yes;522000;18400;30;variable;house;0.6;52600;2;1;false;false;male;8;33;true;lower secondary;single;lower_value
401;no;1101000;31500;36;variable;apartment;0.4;70000;2;2;true;false;male;6;28;true;lower secondary;married;lower_value
402;yes;383700;11000;35;variable;apartment;0.1;26000;1;1;true;false;male;14;34;true;academic degree;single;lower_value
403;no;328000;10700;31;variable;house;0.2;55500;2;3;true;false;male;11;36;true;academic degree;married;lower_value
404;no;216000;14700;15;variable;apartment;0.5;67400;2;3;true;true;male;30;74;false;lower secondary;single;lower_value
405;no;497000;24100;21;fixed;apartment;0.5;85100;2;2;true;true;male;30;53;true;incomplete higher;divorced;lower_value
406;no;286000;18100;16;fixed;apartment;0.4;59800;2;1;true;false;female;30;65;true;secondary;single;lower_value
407;no;157000;9400;17;variable;house;0.3;20800;2;2;true;true;male;30;55;false;academic degree;divorced;lower_value
408;no;555000;17000;36;fixed;house;0.5;45200;2;1;true;true;female;3;28;true;academic degree;married;lower_value
409;no;515000;27400;19;variable;house;0.5;95200;2;1;true;true;female;18;45;true;academic degree;divorced;higher_value
410;no;208000;23400;9;fixed;house;0.7;58500;1;1;true;false;male;30;68;false;academic degree;single;lower_value
411;no;222000;11500;19;fixed;house;0.4;44800;1;1;true;false;male;26;50;true;academic degree;single;lower_value
412;no;238000;17200;14;variable;house;0.7;50100;3;2;false;true;female;26;52;true;lower;married;lower_value
413;no;706000;24700;29;fixed;apartment;0.8;71700;2;3;true;true;male;16;39;true;secondary;single;lower_value
414;no;259000;16000;16;fixed;house;0.6;39700;2;1;true;false;female;27;52;false;incomplete higher;married;lower_value
415;no;328100;10600;34;variable;house;0.7;20700;2;2;true;true;male;6;26;true;incomplete higher;married;lower_value
416;no;177000;15500;12;fixed;apartment;0.3;66200;1;2;false;false;female;18;42;true;incomplete higher;single;lower_value
417;no;687000;23500;32;variable;house;1;99200;1;2;true;true;male;11;32;true;incomplete higher;widowed;higher_value
418;no;979900;25800;42;variable;apartment;0.8;65700;1;1;false;true;female;7;25;true;academic degree;married;lower_value
419;no;405000;14400;30;variable;apartment;1;82400;0;1;true;true;female;20;43;true;secondary;married;lower_value
420;no;779000;23700;36;variable;apartment;0.1;80500;1;1;true;true;male;3;26;true;incomplete higher;married;lower_value
421;yes;137300;9600;15;variable;house;0.3;27800;3;3;false;false;male;25;51;true;academic degree;widowed;lower_value
422;no;921000;20600;47;variable;apartment;0.5;73200;3;4;true;true;male;0;20;true;lower secondary;married;lower_value
423;no;1793000;42800;42;variable;apartment;1;105100;2;1;false;true;female;8;28;true;incomplete higher;married;higher_value
424;no;221000;8500;28;fixed;house;0.2;26600;1;1;true;false;female;14;39;true;incomplete higher;married;lower_value
425;yes;535000;30500;19;variable;apartment;0.1;90300;0;1;false;false;female;20;46;true;lower;married;higher_value
426;no;184000;17400;11;fixed;house;0.1;62800;2;1;true;true;male;30;73;false;incomplete higher;widowed;lower_value
427;no;406000;25300;17;variable;apartment;1;73100;1;2;true;false;male;30;55;true;academic degree;widowed;lower_value
428;no;459000;15200;32;variable;house;0.8;56900;1;1;true;true;male;4;32;true;secondary;single;lower_value
429;no;248500;17200;15;variable;apartment;0.7;50900;1;1;true;false;male;30;66;true;secondary;divorced;lower_value
430;no;262000;9500;28;fixed;house;0.1;20000;1;1;true;true;male;19;42;true;lower;single;lower_value
431;no;1341000;44200;32;fixed;apartment;0.6;135700;0;1;true;true;male;7;29;true;lower secondary;married;higher_value
432;no;801000;34600;25;variable;house;0.1;150700;0;1;false;true;female;17;43;true;lower;divorced;higher_value
433;no;471000;26900;19;variable;house;0.4;66600;2;2;false;true;male;26;47;true;lower secondary;single;lower_value
434;no;984300;29100;36;fixed;house;0.9;59500;1;1;true;true;female;12;31;true;incomplete higher;single;lower_value
435;no;756000;19200;43;variable;house;0.7;42000;1;1;false;true;female;0;22;true;incomplete higher;single;lower_value
436;no;799000;25200;33;fixed;apartment;0.7;113500;0;1;true;false;male;10;34;true;lower secondary;divorced;higher_value
437;no;307000;7300;42;variable;apartment;0.5;48600;2;3;true;true;male;0;21;true;lower;single;lower_value
438;no;94800;10000;10;variable;house;0.4;25900;1;1;true;true;male;30;59;true;lower;single;lower_value
439;yes;237000;7500;33;fixed;house;0.4;22300;2;2;false;false;male;10;29;true;lower secondary;single;lower_value
440;no;29000;6400;5;fixed;apartment;0.3;21100;1;1;true;true;male;30;71;false;academic degree;single;lower_value
441;no;340100;7200;48;variable;house;0.5;44900;1;2;true;true;male;1;20;true;incomplete higher;married;lower_value
442;yes;865000;24400;39;fixed;house;0.7;79900;2;1;true;false;female;4;28;true;secondary;single;lower_value
443;no;1611000;35700;50;fixed;house;0.7;83200;1;1;true;false;male;0;21;true;lower;single;lower_value
444;no;295000;21000;15;fixed;apartment;0.6;55500;1;1;true;false;female;22;48;true;secondary;married;lower_value
445;no;541000;20500;28;fixed;apartment;0.3;46500;1;1;true;false;female;11;35;false;academic degree;divorced;lower_value
446;no;826000;29000;32;variable;apartment;0.1;73800;1;1;true;false;male;15;37;true;academic degree;married;lower_value
447;yes;125000;11400;11;variable;apartment;0.2;23100;3;3;true;false;female;24;49;true;secondary;divorced;lower_value
448;no;648600;15400;44;variable;apartment;0.1;42800;1;1;false;false;female;0;21;true;secondary;single;lower_value
449;no;456000;35400;14;variable;house;0.2;96600;1;2;true;true;female;30;50;true;academic degree;married;higher_value
450;no;233000;20700;12;variable;apartment;0.6;67400;1;1;true;false;female;30;66;true;secondary;widowed;lower_value
451;no;1461700;46800;32;fixed;apartment;0.8;110300;2;2;true;false;female;10;34;true;incomplete higher;widowed;higher_value
452;no;492000;42200;12;variable;house;0.8;85100;2;1;true;true;male;30;53;true;lower;married;lower_value
453;yes;254000;27900;9;fixed;house;0.2;66600;3;3;true;false;female;30;63;true;incomplete higher;single;lower_value
454;no;643000;29800;22;fixed;house;0.9;96500;2;2;true;true;male;17;39;true;lower secondary;married;higher_value
455;no;1293000;41200;33;variable;apartment;0.7;90000;1;1;true;true;male;5;31;true;incomplete higher;divorced;higher_value
456;no;123200;4900;26;variable;apartment;0.3;36200;3;4;false;false;male;12;34;true;academic degree;married;lower_value
457;no;133000;28000;5;variable;house;0.1;75100;2;1;false;true;male;30;58;true;secondary;married;lower_value
458;no;590800;16200;38;variable;house;0.3;50800;2;1;true;false;female;6;32;true;secondary;single;lower_value
459;no;364000;11100;34;fixed;apartment;1;34300;3;3;false;false;male;10;29;false;lower secondary;divorced;lower_value
460;no;149000;6700;22;fixed;apartment;0.2;36600;2;3;false;false;male;9;36;false;secondary;single;lower_value
461;no;1001000;24800;42;variable;apartment;0.3;59000;1;1;true;true;female;5;27;true;academic degree;widowed;lower_value
462;no;528600;18000;31;fixed;house;0.4;65800;2;2;true;true;female;9;30;true;academic degree;divorced;lower_value
463;no;856000;22200;39;fixed;house;1;105800;2;3;false;false;male;9;30;true;academic degree;single;higher_value
464;no;548000;23200;25;fixed;house;0.8;85400;2;1;true;true;male;17;43;true;secondary;married;lower_value
465;no;598400;17800;36;fixed;house;0.5;68400;0;1;true;true;male;6;32;true;incomplete higher;married;lower_value
466;no;254000;7500;35;fixed;apartment;0.5;18700;1;1;true;true;female;15;40;true;incomplete higher;divorced;lower_value
467;yes;109000;20400;5;variable;house;0.3;42800;4;3;false;false;female;30;56;true;secondary;divorced;lower_value
468;no;479000;13400;39;fixed;house;0.7;62200;2;3;false;true;male;0;23;true;incomplete higher;married;lower_value
469;no;641000;21300;33;fixed;house;0.8;71300;2;3;true;false;female;12;36;true;academic degree;single;lower_value
470;no;924000;27600;34;variable;apartment;0.9;69400;1;1;false;false;male;3;26;true;academic degree;single;lower_value
471;no;321000;42900;8;variable;house;0.3;116700;2;1;false;true;female;30;58;true;incomplete higher;married;higher_value
472;no;329000;8000;45;fixed;house;0.7;29500;2;2;false;false;male;0;20;true;lower;married;lower_value
473;no;360000;9000;43;variable;house;0.9;63700;0;1;true;false;male;0;21;true;secondary;single;lower_value
474;yes;742000;29400;26;variable;house;0.5;84400;0;1;false;false;female;12;35;true;incomplete higher;married;lower_value
475;no;569000;19500;31;fixed;house;0.6;71300;1;1;false;true;female;12;35;true;lower;single;lower_value
476;no;535000;17600;33;fixed;house;0.6;52300;1;1;true;true;male;7;30;true;academic degree;divorced;lower_value
477;no;1110000;29500;41;fixed;house;1;63600;1;1;true;true;male;0;27;true;academic degree;divorced;lower_value
478;no;188000;30600;6;variable;apartment;0.1;99600;2;2;true;false;male;30;79;false;lower secondary;single;higher_value
479;no;1229500;33100;38;fixed;house;0.5;79200;1;1;true;true;male;10;28;true;lower;divorced;lower_value
480;no;348000;13800;26;fixed;apartment;0.5;29100;1;1;false;true;female;12;37;true;incomplete higher;married;lower_value
481;no;1237000;37400;33;fixed;house;0.7;114400;1;1;true;true;male;5;28;true;lower;single;higher_value
482;no;152000;13200;12;variable;apartment;0.3;47300;3;3;true;true;male;22;45;true;secondary;single;lower_value
483;no;1216000;31700;38;variable;house;0.9;122600;1;1;false;true;male;5;28;true;secondary;married;higher_value
484;no;187000;10900;18;variable;house;0.4;37000;1;1;false;false;female;26;50;true;academic degree;single;lower_value
485;no;871000;25400;37;fixed;house;1;81000;1;2;false;true;male;9;30;true;lower secondary;widowed;lower_value
486;no;353000;12400;31;fixed;apartment;0.5;58400;0;1;true;false;female;15;38;true;academic degree;married;lower_value
487;no;759000;18700;42;variable;apartment;0.2;80800;2;3;true;false;male;2;23;true;academic degree;single;lower_value
488;no;1835000;44300;42;variable;apartment;0.6;97500;3;3;false;false;male;6;30;true;incomplete higher;married;higher_value
489;no;1423000;48600;30;fixed;house;0.5;103500;2;2;false;true;male;8;33;true;academic degree;single;higher_value
490;no;331000;13000;26;variable;house;0.6;58100;2;3;false;true;female;9;36;true;academic degree;married;lower_value
491;no;964000;28300;35;fixed;house;0.9;57800;1;1;false;true;female;9;33;true;incomplete higher;divorced;lower_value
492;no;353200;14200;27;variable;apartment;0.6;64900;3;4;false;false;male;15;41;true;secondary;married;lower_value
493;no;254000;7000;37;variable;house;0.1;16100;3;3;true;true;male;1;27;false;incomplete higher;divorced;lower_value
494;no;545000;32800;18;fixed;apartment;1;99900;0;1;false;true;male;22;44;true;academic degree;married;higher_value
495;no;434900;34800;13;fixed;house;0.2;68400;1;1;false;true;female;27;48;true;lower;divorced;lower_value
496;no;1447000;36600;43;fixed;apartment;0.8;99000;2;3;true;true;female;0;23;true;academic degree;single;higher_value
497;no;526000;17000;31;variable;house;0.5;62600;1;1;false;true;female;2;28;true;secondary;widowed;lower_value
498;no;644000;16100;41;fixed;apartment;0.5;58400;1;1;true;false;male;11;34;true;incomplete higher;single;lower_value
499;yes;488000;28300;18;fixed;house;0.4;74500;2;3;false;false;male;28;50;true;lower;single;lower_value
500;no;994000;26000;40;fixed;apartment;0.5;71200;2;2;false;true;female;2;26;true;secondary;widowed;lower_value
501;no;484000;28700;18;variable;apartment;0.5;87600;2;1;true;true;female;19;43;true;secondary;divorced;lower_value
502;no;175000;13100;14;fixed;house;0.2;37700;2;1;false;true;male;30;62;true;lower secondary;married;lower_value
503;no;577000;43500;15;fixed;house;1;102800;1;1;false;false;male;25;47;true;lower secondary;divorced;higher_value
504;no;458000;19300;25;variable;apartment;1;72700;0;1;true;false;female;13;38;true;incomplete higher;married;lower_value
505;no;383000;9900;42;fixed;house;0.7;31200;3;2;false;false;male;1;24;true;lower secondary;married;lower_value
506;no;217000;6200;36;fixed;apartment;0.5;19800;1;1;false;false;male;5;32;true;incomplete higher;divorced;lower_value
507;no;313000;24400;14;fixed;apartment;0.6;70900;1;1;true;false;male;25;48;true;academic degree;married;lower_value
508;no;210000;6700;33;fixed;apartment;0.6;23600;2;2;true;true;female;3;27;false;incomplete higher;married;lower_value
509;no;445000;20200;24;fixed;apartment;0.3;57300;3;3;false;true;female;14;37;true;secondary;single;lower_value
510;no;1272000;36700;37;fixed;apartment;0.8;89400;1;1;false;true;male;5;27;true;incomplete higher;divorced;lower_value
